SENTENCE	support_academic	support_moral	support_tech	support_data	support_library	support_finance	support_religious	support_unknown	sentiment_very_pos	sentiment_some_pos	sentiment_neutral
My appreciation goes to my committee: to Dr. Joni Richards Bodart for agreeing to chair this committee and for her invaluable advice, to Beth Wrenn-Estes for her encouragement and support in pursuing this topic, and to Nina Lindsay for her extensive review, difficult questions, and encouragement to always look deeper.	0	1	0	0	0	0	0	0	0	1	0
Honest dialogue on race in America makes people uncomfortable.	0	0	0	0	0	0	0	1	0	0	1
I wish my mom and dad were here to celebrate this significant accomplishment with me.	0	0	0	0	0	0	0	1	0	0	1
To Dr. Carol Isaac, I appreciate your constant encouragement, support, positivity, and cheerleader-attitude.	0	1	0	0	0	0	0	0	1	0	0
I wish to thank the members of my dissertation committee—Dr. David Kaser, Chairman, Dr. Calvin Boyer, Dr. Raymond Gibson, and Dr. Eva K iew itt—for the guidance and encouragement which they gave me while I was writing my dissertation.	1	0	0	0	0	0	0	0	0	1	0
I wish to extend a special thanks to Cindy, Fern, and Martha for their patience in for the past two years, and to Nancy and Barbfor their assistance,and to Lenore for her help.	0	1	0	0	0	0	0	0	0	1	0
Joan Chabrak, the Graduate Student Services Coordinator, was so helpful to me throughout the program “ contacting faculty, receiving poster prints, and promptly answering any questions I had about program requirements.	0	0	1	0	0	0	0	0	0	1	0
Dr* Harold Goldstein* who generously spent many hours as advisor* mentor* and major professor during my residency and subsequent w riting of th is dissertation* despite a demanding adm inistrative schedule*	1	0	0	0	0	0	0	0	0	1	0
I am particularly grateful to Dr. Danny P. Wallace for his introduction to the world of research in library and information studies, kind and thoughtful advice at every stage in the process, and saying œyou should do this before I ever thought I could.	1	0	0	0	0	0	0	0	1	0	0
It was during this trip that I was drawn to her genuine and caring nature.	0	1	0	0	0	0	0	0	0	1	0
Thank you for the vision and the faith to carry this process forward.	0	0	0	0	0	0	0	1	0	0	1
Any historian is indebted to those whose work preserving the past enables his own research.	0	0	0	0	0	0	0	1	0	0	1
This dissertation would not have been possible without the help of so many people in so many ways.	0	1	0	0	0	0	0	0	0	0	1
To anyone who read a draft at any stage of the process, and especially to Brad.	0	1	0	0	0	0	0	0	0	0	1
Thank you for always allowing me to share my progress with you, as well as my frustrations, my hopes, my disappointments, and my successes at every stage of the program.	0	1	0	0	0	0	0	0	0	1	0
Thank you to my advisor, Christine Borgman, who has provided the motivation and incentive to ensure I become the best possible version of myself.	1	0	0	0	0	0	0	0	0	1	0
Without him, the study was simply impossible.	0	1	0	0	0	0	0	0	0	0	1
I would like to express my deepest gratitude to Claire, Sylvia, Brynna and Scot for your unwavering patience, support and love!	0	1	0	0	0	0	0	0	0	1	0
Dr. Keith patiently corrected my proposal, and her ability to stimulate further thinking is unrivaled.	1	0	0	0	0	0	0	0	0	1	0
I am thankful to the Department of,Applied Mathematics, McMaster University for the financial assistance made available •• \ ,- ; to me during this past year.	0	0	0	0	0	1	0	0	0	1	0
I would like to first acknowledge the strong support and input of my dissertation committee, which included my chair, Dr. Eileen Abels, Dean and Professor, School of Information and Library Science, Simmons College and committee members, Dr. James Matarazzo, Dean Emeritus and Professor, School of Information and Library Science at Simmons College and Dr. Lynda Applegate, Sarofim-Rock Professor of Business Administration at Harvard Business School.	1	0	0	0	0	0	0	0	0	1	0
I am grateful to Professors Charles A. Bunge, Frederic G. Cassidy, James Krikelas and Margaret E. Monroe for their contributions as members of my doctoral committee.	1	0	0	0	0	0	0	0	0	1	0
The Senior Graduate Assistantship awarded to me by the Graduate School of Library and Information Sciences of the University of Pittsburgh has been very crucial in helping me complete the entire doctoral work expeditiously.	0	0	0	0	0	1	0	0	0	1	0
God bless ray husband and son for their encouragement and moral support!	0	1	0	0	0	0	0	0	1	0	0
He is especially grateful to the following individuals (several of whom are now retired), whose institutions provided so much in both materials and services: Isabell Howell, Harriet Chappell Owsley, and Kendall Cram, Tennessee State Library and Archives?	0	1	0	0	0	0	0	0	0	1	0
Now that this is done maybe we can talk about something else over lunch.	0	0	0	0	0	0	0	1	0	0	1
To all my daughters and my little man, Nouf, Aljawhara, Rimas, Sara, and Suilman, I am sorry for the time I spent far away from you, but I thank God for the opportunity to let every member of this family know how close they are to me despite the distance and to respect their thoughts, decisions, and talent.	0	1	0	0	0	0	0	0	1	0	0
All of your advice has been very valuable and so much appreciated.	0	0	0	0	0	0	0	1	1	0	0
Many of you have extremely full schedules, and not just the resource allocators, and that you made the time to participate, will not be forgotten.	0	0	0	0	0	0	0	1	0	1	0
I also thank the Rector of Gadjah Mada University who allowed me to leave my position and continue my study.	0	1	0	0	0	0	0	0	0	1	0
To Dr. William Young, who became my champion in resolving bureaucratic challenges, and for your sense of humor at just the right moments.	1	0	0	0	0	0	0	0	0	1	0
He also helped me to obtain financial support as did Dean Jack Dalton, who obtained for me a grant under Title II of the Higher Education Act.	0	0	0	0	0	1	0	0	0	1	0
Someof these persons are specifically identified here.	0	0	0	0	0	0	0	1	0	0	1
Dr. John Schweitzer of Education Research Consultants, College of Education, for giving this study structure and for the many hours he gave in helping me resolve many research problems.	1	0	0	0	0	0	0	0	0	1	0
To my faculty committee, I am so honored to have had the opportunity to study with professors of your caliber and experience.	1	0	0	0	0	0	0	0	0	1	0
There is absolutely no way I could have completed this journey without the continual guidance and support from my advisor, Dr. Nancy Everhart.	1	0	0	0	0	0	0	0	0	1	0
This project would never have been completed with­ out the assistance of Mrs. Somboon Singkamanan and Mr. Supat Songsangchan of Srinakharinwirot University Library at Prasarnmit, their friends, and their students.	0	0	0	0	1	0	0	0	0	1	0
His careful attention to detail was invaluable to the final version of this project.	0	0	0	0	0	0	0	1	1	0	0
The faculty and staff at the College of Communication and Information, School of Information who have helped mold and perfect my academic curiosity.	1	0	0	0	0	0	0	0	0	1	0
On the personal level I acknowledge a great indebtedness to my close friends R.K. Shepard and R.H. Martin for many stimulating and exciting discussions; to Beverly, Michael, Jamie and Marcia 1 say many thanks for a firm familial backing.	0	1	0	0	0	0	0	0	0	1	0
I also want to express my heartfelt thanks to my parents-in-law, Shipeng Ge and Shouzhen Zhu, for supporting my decision to pursue a doctoral degree in so many ways.	0	1	0	0	0	0	0	0	1	0	0
My children, Douglas, Zachary, Sarah, Hannah, and Lance have had to sacrifice time with and attention from me, and without their understanding, I would not have been able to complete my assignments without huge amounts of parental guilt.	0	1	0	0	0	0	0	0	1	0	0
Thanks also to my committee members, Dr. Molly Lane and Dr. Nancy Haas for their willingness to serve and their kindness and support.	1	0	0	0	0	0	0	0	0	1	0
I owe a huge debt of gratitude to Dr. Rachelle Miller for being my statistics guru to help make sense of all those pesky numbers.	0	0	1	0	0	0	0	0	0	1	0
Finally, I thank God because if it wasn't for you plotting my journey, I wouldn't be here today saying thank you.	0	0	0	0	0	0	1	0	0	1	0
I would like to express my deepest gratitude to Dr. Montague Kern, for her constant support and encouragement throughout my study in Rutgers.	1	0	0	0	0	0	0	0	1	0	0
The extensive assistance, advice, and encouragement of Kathleen Mitchel, -Frances Spigai, Richard Moore, and Lucy Anne Poucher can never be repaid, but is gratefully acknowledged.	0	1	0	0	0	0	0	0	1	0	0
I'm grateful to have gotten this far, and owe a debt of gratitude to a number of individuals who had a direct impact on my dissertation thought process, as well as those who provided support to enable me to keep working when even when it was at its most difficult.	0	1	0	0	0	0	0	0	0	1	0
I am truly grateful for their invaluable guidance and their thoughtful support on this study.	0	0	0	0	0	0	0	1	1	0	0
The author also wishes to thank Computing Services and The Department of Chemical Engineering of The Dniversity of' Alberta for allowing V 'S' him to work on this paper while being employed.'	0	1	0	0	0	0	0	0	0	1	0
Sr. Marie Inez Johnson, June S. Smith, and Maxine Clapp, thank you for being excellent teachers, supervisors, and counselors.	1	0	0	0	0	0	0	0	0	1	0
I also want to thank Dr. Paul Rutledge, university research reviewer (URR), for his contributions in ensuring that the study is a quality research work.	1	0	0	0	0	0	0	0	0	1	0
I acknowledge the support provided ae by the Department of Computing Science, in the fora' of a teaching assistant-* shi£. ' Hany thanks to the innumerable*graduate students here at the University of Alberta, who have provided healthy discus­ sions over the years; thanks also to Ken Thompson of Bell Laboratories, who provided the basis for this work.	0	0	1	0	0	0	0	0	0	1	0
Last, I want to thank my Mom, Dad, and Grandma, and siblings Merr, Christine and Joe.	0	1	0	0	0	0	0	0	0	0	1
His in­ fluence on me extends far beyond the dissertation.	0	0	0	0	0	0	0	1	0	0	1
First of all, I would like to express my sincerest gratitude and thank to my supervisor and committee chair, Dr. Shawne Miksa who has guided me during my years of studying at University of North Texas.	1	0	0	0	0	0	0	0	0	1	0
Here I would like to give my sincere gratitude and appreciation to the people who have supported and helped me so much throughout this period.	0	1	0	0	0	0	0	0	0	1	0
Henry Voos, my advisor, provided encouragement and support at the most crucial times.	1	0	0	0	0	0	0	0	0	1	0
Thank you for helping me establish my research topics, leading me through every milestone of my doctoral study, and offering support and guidance during the dissertation writing period.	1	0	0	0	0	0	0	0	0	1	0
I wish to express my sincere appreciation to Dr. John M. Goudeau, as major advisor, Dr. Harold Goldstein, Dr. Ruth H. Rockwood, and Dr. Persis E. Rockwood for their encouragement, support and guidance during this research.	1	0	0	0	0	0	0	0	0	1	0
And thank you to Dr. Bradley Cox for his contagious enthusiasm and willingness to collaborate on the project that ultimately led to the idea for this dissertation.	1	0	0	0	0	0	0	0	1	0	0
Yet, there are others, without whose assistance the paper couldnothavebeenwritten,whoshouldshareintheaward.	0	0	1	0	0	0	0	0	0	1	0
He and the other members of my supervisory team “ Dr Guyda Armstrong (Senior Lecturer in Italian) and David Matthews (Professor of Medieval and Medievalism Studies) “ have provided steadfast support and wise counsel at every step of the way, guiding, inspiring and occasionally cajoling.	1	0	0	0	0	0	0	0	0	1	0
To my Dean, William Goffman, I acknowledge a special debt.	1	0	0	0	0	0	0	0	0	1	0
I also thank my school for their support and the many friends who have supported me throughout the process.	0	1	0	0	0	0	0	0	0	1	0
I would first like to express my sincere appreciation to Dr. David Kaser, Professor, Graduate Library School, Indi­ ana University, and Chairman of my dissertation committee, for his wise, patient, and valuable counsel.	1	0	0	0	0	0	0	0	0	1	0
I thank Jeannette Bastian for chairing the committee and guiding me through the doctoral program; Martha Mahard for the kindness she showed me; and Nancy McGovern for our many conversations even when they were not directly about this dissertation.	1	0	0	0	0	0	0	0	0	1	0
Thanks are due to Dr. Pierre Robert, chairman of the DCpartenent d'lnformatique at University de Montreal for the support given during the implementation phase of ULANG on the CDC 6600.	1	0	0	0	0	0	0	0	0	0	1
I also thank the members of my dissertation committee: Dr. Jennifer Gibbs and Dr. Keith Hampton of Rutgers University, and Dr. Heather Horst of RMIT University, Melbourne, Australia for their guidance and probing insights as well.	1	0	0	0	0	0	0	0	0	1	0
I would like to thank Colleen McDonell for her patience, encouragement, and especially- for the manner in which she has sacrificedher own ambitions and career goal so that,I could completethis work.	0	1	0	0	0	0	0	0	0	1	0
Without his constant help and support, I would not have been able to complete this study.	0	0	0	0	0	0	0	1	0	1	0
The researcher wishes to acknowledge the efforts of those who had a part in the production of this thesis, Special thanks are extended to the writer’s thesis advisor, Mr. David G. Libbey, who displayed genuine interestandenthusiasmfromthestart.	1	0	0	0	0	0	0	0	0	1	0
Dasgupta's in my life.	0	1	0	0	0	0	0	0	0	0	1
Thank you for all the times you would stay up late to proof my papers.	0	1	0	0	0	0	0	0	0	1	0
But, most of all, the author would like to extend his grateful appreciation to his father, for his support and understanding over the many years of his education.	0	1	0	0	0	0	0	0	0	1	0
I am grateful to the photo­ graphic departments of the various hospitals and institutes for providing the illustrations, and to Mr. Paul Morell for supplying those of Charing Cross Hospital.	0	0	1	0	0	0	0	0	0	1	0
I am deeply and sincerely grateful for both of them, as I literally could not have accomplished this monumental endeavor without them.	0	1	0	0	0	0	0	0	1	0	0
I would also like to give my appreciation to Dr. Janet Thomas for her methods guidance regarding using care about making conclusions when interpreting self-reported data.	0	0	1	0	0	0	0	0	0	1	0
IwishtothankalsoDr. CarolBakeroftheOfficeofMeasurementand	0	0	0	0	0	0	0	1	0	0	1
I would like to thank Dr. Claudia Haag for joining us from the Department of Reading and offering her words of support.	1	0	0	0	0	0	0	0	0	1	0
In addition, I would like to express my appreciation to my wffe, Linda, for her patience and her -invaluable assistance in typing the manuscript.	0	0	1	0	0	0	0	0	1	0	0
Dean Harold Goldstein, Dr. Ronald Blazek, Dr. Ruth H. Rockwood and Dr. Marion I. Neil also receive my appreciation for their guid­ ance and assistance.	1	0	0	0	0	0	0	0	0	1	0
To the entire faculty of The Florida State Univer­ sity, School of Library Science whose open doors have always been appreciated.	0	1	0	0	0	0	0	0	0	1	0
I would like to thank the members of my Doctoral Committee for their support and patience as they guided me through to completion.	1	0	0	0	0	0	0	0	0	1	0
It has been a long journey to complete the doctoral degree, and it would not have been possible without the help and support from a number of people.	0	0	0	0	0	0	0	1	0	1	0
Special acknowledgment is due to Mr. William A. Parker of AID, Washington, D.C.; to Dr. W. Tapscott Steven, Jr., Associate Director; and the staff of the Center for Inter­ national Education, I owe a great debt of kindness.	1	0	0	0	0	0	0	0	0	1	0
I greatly appreciate Dr. Lucille Wert's encouragement during my course work and her critical review of this thesis.	1	0	0	0	0	0	0	0	0	1	0
In this book I have taken a liberty in making Dr. Johnson live in the Gough Square house a few years longer than he really did, which automatically advances the dates of Hodge, his cat.	0	0	0	0	0	0	0	1	0	0	1
Before taking your class I really had no idea about how to do a systematic review or what was involved in evidence-based research.	1	0	0	0	0	0	0	0	0	1	0
Finally, but most importantly, I am grateful to my husband who endured three years of separation and yet was always ready with support and encouragement for me to com­ plete this study.	0	1	0	0	0	0	0	0	1	0	0
Finally, I am thankful to my most wonderful parents: Woo Nim Hong Chwe, mother, who taught me the value of educa­ tion from her infinite zeal for her children's education, and Chang Kyu Chwe, father, who made possible all the dreams v	0	1	0	0	0	0	0	0	1	0	0
I am grateful to my daughter and mother, Bethany and Dorothy, who have provided me with so much support throughout this learning journey and always.	0	1	0	0	0	0	0	0	0	1	0
They have given me invaluable and patient guidance during the research and arrangements for this dissertation.	0	0	0	0	0	0	0	1	0	1	0
I love you.	0	0	0	0	0	0	0	1	0	1	0
The help from my Mommy-Long-Legs, Jennifer, is unforgettable.	0	1	0	0	0	0	0	0	0	1	0
This study replicates three comprehensive studies of school library personnel in Indiana completed by Miss Rufsvold and stems from her recommendation that the present study be conducted.	1	0	0	0	0	0	0	0	0	1	0
I would like to express my special appreciation to Dr. Christian Anderson, Dr. Kent Cubbage, and Dr. Jim Hudgins for their interest in my work and their service on my committee.	1	0	0	0	0	0	0	0	0	1	0
TheSchoolhas also provided secretarial help to type ever-changing rough drafts of the study.	0	0	1	0	0	0	0	0	0	0	1
They represent the best of library leaders, make me proud of our profession, and hopeful for the future of libraries.	0	0	0	0	0	0	0	1	0	1	0
I am indebted to Dr. Sylvia Vardell for her unending encouragement, especially during the last stressful months.	1	0	0	0	0	0	0	0	0	1	0
I would also like to thank the members of my committee: Dr. Rebecca Hunt, Dr. Olha Ketsman and Dr. James Lockard, for their insights and flexibility.	1	0	0	0	0	0	0	0	0	1	0
Thank you to all the members of the UCLA Center for Knowledge Infrastructures during my tenure; you have been my colleagues and friends.	0	1	0	0	0	0	0	0	0	1	0
To my wife, Pam; my parents; my grandparents; and my friend, John, without whose spiritual and material ii	0	1	0	0	0	0	0	0	0	1	0
She is the genesis for this research study, and under her guidance it moved from an idea to a historical record and now a dissertation.	1	0	0	0	0	0	0	0	0	1	0
I--gratefully acknowledge financial assistance received from the Department of Computing Science and a grant from National Research Council of Canada to Dr. Yu. *	0	0	0	0	0	1	0	0	0	1	0
I would like to acknowledge the wonderful librarians in my life who have shown me what is possible Rebecca Johnson, Linda Plevak, Tina Mesa, Susan Maldonado, Stephanie Vazquez and Esteban CantÃº.	0	0	0	0	1	0	0	0	0	1	0
Friends will arrive, friends will disappear.	0	0	0	0	0	0	0	1	0	0	1
My husband and boys have learned to fend for themselves - they were always fed and I like to think they had clean socks but I wouldn't swear to it¦	0	1	0	0	0	0	0	0	0	1	0
Special thanks are also extended to the members of the Panel of Experts, and to 53 survey respondents for their written suggestions.	0	1	0	0	0	0	0	0	0	0	1
I cannot finish the acknowledgements without mentioning how much I love my family.	0	1	0	0	0	0	0	0	0	1	0
Without the support of the author's husband, who served as mother and father during the development of this project, this survey would not have been completed.	0	1	0	0	0	0	0	0	0	1	0
I would also like to thank my colleagues at South Texas College who provided me with encouragement and assistance.	0	1	0	0	0	0	0	0	0	1	0
Dr. Ronald G. Rex, who supported me from the beginning, his advice, and encouragement which were needed during my doctoral studies.	1	0	0	0	0	0	0	0	0	1	0
You will always be an inspiration to me and I hope to lead and nurture my students the same way that you have led and nurtured us.	1	0	0	0	0	0	0	0	0	1	0
After an exhaustive number of years, today is the day: writing this note of thanks is the finishing touch on my dissertation.	0	0	0	0	0	0	0	1	0	0	1
A special thank you to Dr. Christie Koontz who recruited me as a master's student with the belief I would make significant contributions to the LIS field.	1	0	0	0	0	0	0	0	0	1	0
They willingly spent their time with me, sharing their thoughts and experience regarding my research topic, which enabled me to answer my research questions in the dissertation project.	1	0	0	0	0	0	0	0	0	1	0
Several people were nice enough to furnish information pertaining to the substance of the work; Drs. William Randall and Louis R. Wilson were especially helpful in this regard.^	1	0	0	0	0	0	0	0	0	1	0
By the grace of God, I am done!	0	0	0	0	0	0	1	0	0	1	0
After the classwork comes the dissertation.	0	0	0	0	0	0	0	1	0	0	1
I'd like to extend a special thanks to Dr. Eric Glover my committee chair.	1	0	0	0	0	0	0	0	0	1	0
In November, 1973, Ms. Cora Thomassen directed the 19th Allerton Park Institute.	0	0	0	0	0	0	0	1	0	0	1
Dr. Onwuegbuzie consistently demonstrated a tremendous work ethic that was characterized as credibility, accountability and professionalism toward research and scholarship.	0	0	0	0	0	0	0	1	1	0	0
Fellow graduate students have also supplied me with fruitful discussions and ideas^ especially Ian Hcflaster and Rici Liknaitzky.	0	1	0	0	0	0	0	0	0	1	0
I am deeply grateful to my family for their encouragement and support through the doctoral journey.	0	1	0	0	0	0	0	0	0	1	0
To my companions in Room 12 whose friendship have made the past two years tremendously rewarding.	0	1	0	0	0	0	0	0	0	1	0
My special thanks go to my family: my father, Group Captain Satient Ummaruklert, my mother, Jarungsri Ummaruklert, and my brother, Chaitat Amrukloet.	0	1	0	0	0	0	0	0	0	1	0
Tim Bertschinger, associate architect at Perkins Eastman DC Cindy Frank, Librarian, Architecture Library, University of Maryland Patricia Kosco Cossard, Art Librarian, University of Maryland	0	0	0	0	1	0	0	0	0	0	1
Thank you to my committee members Dr. Connie Briggs, Dr. Sylvia Vardell, and Dr. Carol Wickstrom for helping me to narrow my research focus into a workable, doable project and for providing insights in order for my project to become a better one than that with which I initially started.	1	0	0	0	0	0	0	0	0	1	0
Last, but not least, I want to thank my other committee members: Dr. Juliann Woods for her enthusiasm for my work; Dr. Don Latham for his calm demeanor, sage advice, and faith in my ability; and Dr. Gary Burnett for the creation of information worlds theory and his unique perspective that made my project that much better.	1	0	0	0	0	0	0	0	0	1	0
My colleagues in the academic library community also contributed to this work by replying to my tweets, listening to my presentations on my preliminary findings, or providing critiques on publications related to my research.	0	1	0	0	0	0	0	0	0	1	0
Indexing of forty students at the Graduate School of Library Science, University of Illinois, formed the basis for inter-indexer consistency calcu- lations relevant to the CIA data base.	0	0	1	0	0	0	0	0	0	1	0
I would also like to thank Dr. John Sherlock for his invaluable research methods course.	1	0	0	0	0	0	0	0	0	1	0
It is a pleasant duty to acknowledge these obligations, whilst accepting sole responsibility for all errors and shortcomings of this thesis.	0	0	0	0	0	0	0	1	0	0	1
I want to thank my daughter, Jamila Jones, and my daughter, son-in-law and grandson, Britny, Jason, and Cameron Maynard, for their love and laughter.	0	1	0	0	0	0	0	0	0	1	0
You have been a constant support, even when you nagged me to finish.	0	1	0	0	0	0	0	0	0	1	0
My greatest pleasure was to be a part of the second doctoral cohort supported by a grant from the Laura Bush 21st Century Librarian Program of the Institute of Museum and Library Services (IMLS), and my thanks goes to the IMLS for this opportunity.	0	1	0	0	0	0	0	0	0	1	0
I am glad to be your daughter because without your belief in me, I would not be here.	0	1	0	0	0	0	0	0	0	1	0
My unending gratitude goes to Dr. Carol Spaulding for stepping in to lead my team and for sharing her amazing ability to motivate, engage and inspire students to their best.	1	0	0	0	0	0	0	0	1	0	0
Thank you so much to the staff of Care Ring Clinic in Charlotte, NC for allowing me to work with patients at your facility.	0	0	1	0	0	0	0	0	0	1	0
In 1972, I was granted a Sabbatical leave from the Church College of New Zealand tocontinueworktowardmydoctorate.	0	0	0	0	0	0	0	1	0	0	1
He provided me with valuable guidance throughout my doctoral journey and especially through my research.	0	1	0	0	0	0	0	0	0	1	0
Joe and Jill's support was instrumental in my development as a professional, and with their guidance I learned much more than how to run a recreation center.	0	1	0	0	0	0	0	0	0	1	0
The work of each of these students is grateful^ acknowledged.	0	1	0	0	0	0	0	0	0	1	0
I would like to thank Dr. Suzanne Dunn, my original mentor, for her ongoing dedication to the learning process and her support and encouragement throughout my doctoral journey.	1	0	0	0	0	0	0	0	1	0	0
I would first like to thank Dean Bernard M. Fry, Chairman of my dissertation committee, for his patient and valuable counsel.	1	0	0	0	0	0	0	0	0	1	0
Closely associated with two different stages of the research project were Professors George S. Bonn and Kathryn Luther Henderson.	1	0	0	0	0	0	0	0	0	0	1
Most of all, to Professor Ruth H. Rockwood, program advisor and committee chairperson, for wise counsel and encouragement throughout•the program; to members of the doctoral committee, Dean Harold Goldstein, Professor Sara K. Srygly, and Professor H. Odell Waldby for their helpful suggestions; to the pretest partici­ pants for their comments; to the busy colleagues in state library agencies who took time to complete and return the questionnaires upon which this study is based; and to numerous other persons who gave generously of their time by talking to and corresponding with the author.	1	0	0	0	0	0	0	0	0	1	0
