year	sentence
1952	He also wishes to thank the director of the study, L« C. larson, for his assistance in the selection and delimitation of the problem and general support of the study* For careful and analytical reading of the manuscript and offering valuable suggestions in writing form, the writer is deeply indebted to Charity Bve Runden, Research Associate of the Audio-Visual Center, Indiana University, likewise, the writer is Indebted to his wife, Esther, for assistance in preparing the numerous tables and for general suggestions in adding clarity to the manuscript.
1952	The writer wishes to express her thanks to Dean Lester Asheim of the Graduate Library School and to Mr * Scott Goldthwaite of the Music Department for their help and guidance during the progress of this study.
1952	Grateful thanks are also extended to the staffs of the libraries visited for their cheerful and willing assistance in locating needed data.
1952	Reproduced with permission of the copyright owner.
1952	Further reproduction prohibited without permission.
1953	The writer of a dissertation contracts personal debts of various kinds.
1953	First of all, he owes to somebody the spark which aroused his interest in the subject of his dissertation.
1953	To all my teachers who have in?>ressed me with the inqportance of the making and distributing of books I owe a debt of this kind.
1953	More particularly, I owe my first interest in historical bibliography to Lewis F. Stieg tinder whom X studied while he was the Assistant Director of the Uni- versity of Illinois Library School.
1953	Harris Fletcher, Professor of English and Cooperating Member of the Library School Faculty at the__ University of Illinois, focused my attention on the historical bib­ liographyofEngland.
1953	FredS.Siebert,DirectoroftheUniversityof |Illinois School of Journalism, aroused my interest in the historical |development of the control of the book trade.
1953	Another kind of debt that the writer of a dissertation con­ tracts is for the personal assistance given him in the direction of his study and in understanding the goals of scholarship.
1953	For such help I am mostly indebted to Professor Fletcher who has been my ad­ viser.
1953	Harold Lancour, Associate Director of the University of Illinois Library School, has encouraged me and rendered assistance in his discussions of the goals of scholarship.
1953	Professor Siebert has directed me to sources of information pertinent to my topic.
1953	Rose B. Phelps, Associate Professor of Library Science at the University of Illinois, assisted me in finding my way through British document Jpublications.
1953	Librarians at the University of Illinois and the Uni- jversity of Wisconsin have worked cheerfully and ably in helping me
1953	The writer is indebted to the members of the library staff at the Veterans Administration Hospital, Hines, Illinois, for their help and cooperation and is greatly indebted to Lester Asheim, Dean of the Graduate Library School, for his guidance and many helpful suggestions during the planning and writing of this thesis.
1954	The writer wishes to Express his sincere appreciation to Dr. Peter F. Christianson, Department of Vocational Education, University of Wyoming, for his invaluable advice, criticism, and editorial assistance in the preparation and completion of this study.
1954	Appreciation is also extended to the superintendents who co­ operated by returning the completed checklists.
1954	To members of the dissertation committee, Margaret E, Egan, Howard W. Winger and Jesse H. Shera, chairman, I wish to express my great appreciation for reading the manuscript and making con­ structive suggestions.
1954	I am especially indebted to Mr. Shera, whose encouragement, guidance and inspiration went well beyond the call of duty.
1954	Finally, I am forever grateful to my wife, Marjorie Stafford Branscomb, who patiently typed all drafts of the manu­ script except the final one, who was a continuous source of en­ couragement and without whose help in these and in other respects this study would not hâve been possible.
1954	AOKNOWLED GEMENTS Though the responsibility for this study is mine alone, in many ways it has been a cooperative undertaking.
1954	I am glad to have this opportunity to record my appreciation for the advice, informa- tion, and encouragement which have done so much to enable me to carry the study to completion.
1954	My greatest debt is to Dr."Leslie Whittaker Dunlap, who has variously acted as supervisor, class instructor, adviser, and critic in the long process of library experience, course work, research, and writing that has culminated in this dissertation.
1954	The initial idea for the study arose out of my course with him; its development has taken its shape largely out of our many subsequent discussions.
1954	He has always managed to combine searching criticism-with the warm- est personal encouragement.
1954	I am deeply grateful.
1954	My thanks also go out to the other four members of my commit- tee�Dr.
1954	Thomas 3�.
1954	Benner, Dr. Robert B. Downs, Dr. Rose B. Phelps, and Professor Ernest J. Reece�who were kind enough to read the lengthy initial draft; their suggestions and criticisms helped me avoid many errors.
1954	Dr. Harold Lancour also favored me with a thorough reading of the first draft.
1954	A number of librarians have, by personal interviews and by making materials available, given me important information on the development of reference services in their institutions.
1954	I wish to express-my thanks for help of this kind given to me by Dr. Burton W. Adkins on, Mr. David C. Mearns, and Mr. Thomas S. Shaw of the Library of Congress; Mr. Charles Mixer and Miss Constance Winchell of the _____ _. .
1954	IV Columbia University Library; Mr. Archibald P. De Weese, Mr. Barron F. Franz, and Mr. James G. Tobin .of the New York Public Library; Mr. Herman H. Henkle of the John Crerar Library; Mr. Charles M. Mohrhardi of the Detroit Public Library; Mr. B.
1954	Bowman and Mrs. Gertrude Woodward of the Newberry Library; Miss Estelle Brodman of the Armed Forces Medical Library; and Dr. Otto Kinkeldey, formerly librarian of the Cornell University Library.
1954	Mr. Stephen Stackpole of the Carnegie Corporation of New York generously placed at my disposal the Corporation's files on the "research librarianships."
1954	The staff of the University of Illinois Library and Library School has been consistently indulgent in meeting the many requests entailed by this dissertation.
1954	I owe particular thanks to Miss Helen Stewart and her girls at the Loan Desk, who renewed my many overdues without a grumble; to Mr. T. E. Ratcliffe and his assist- ants in the Reference Department, who supplied me with inter-library loans and many facts; and to Miss Donna Finger and Miss Billie Hurst of the Library School Library.
1954	In its long months "in process," this study has come to intrude on the lives of many people.
1954	To my friends Frances and Leonard Blackman, Joan and Bill Taylor, Jean and Jack Sumner, Marie Dunlap, John Boll, Eleanor Blum, Waif Erickson, Wesley Simonton, and Rick Farley, who have patiently suffered through many a long mon- ologue, this word of thanks is well warranted.
1954	I am especially indebted to Frances Blackman, who typed both the draft and final copy at the cost of so many late hours.
1954	She showed me what assist- ance really means.
1954	Most of the time I spent on this dissertation and on the course work that preceded it, I was the recipient of a grant from   the Carnegie Corporation of New York-.
1954	To the Corporation�and particularly to Mr. Stephen Stackpole, the executive assistant of its British Dominions and Colonies Program, and to Dr. Norman MacKenzie, president of the University of British Columbia, who was largely instrumental in my receiving this generous aid,'�I again express my thanks.
1954	To my wife Miriam, who has done most of all�well, she gets a page of her own.
1955	The w riter greatly appreciates the guidance and constructive criticism of Mr. Lester Asheira and Mrs. Ruth Strout of the Graduate Library School.
1955	He is deeply grateful to Miss W inifred Ver Nooy for her constant encouragement, and generous assistance during the study.
1955	Finally, the writer thanks the refer­ ence staff and Miss Desiree de Charms for their patience, understanding and valuable assistance.
1955	The author wishes to express his gratitude to Professor Robert B. Downs, under whose supervision this study was made, and to Professor Arthur E. Bestor, whose sympathetic and constructive criticism have been of inestimable value in planning and conducting the investigation.
1955	The author wishes to acknowledge also his in­ debtedness to the other members of his committee who critically read the manuscript.
1955	The author is indebted to Professor Edgar J. Townsend, Professor Charles P. Hottes, Professor Charles A Williams, Francis K. W. Drury, Professor Frances Simpson, Professor Willia X.
1955	Carver, Dr. Harlan H. Horner, and Professor Phineas L. Windsor for the useful information they generously supplied.
1955	He expresses his sincere thanks to Anthony J. Janata, Mrs. Helen Hay, George P. Tuttle, and Miss Thelma Radwell for their assistance in locating University records and making them available.
1955	The completion of this study is due largely to the inspira­ tion and self-sacrifice of the author's wife, Marjorie, and his sons, Gardner, Philip, Peter, Martin, and Bruce.
1955	With each he shares the satisfaction of accomplishment, and to each he extends his heartfelt thanks.
1956	In the preparation of this study the writer has been greatly assisted by the ready help of his colleagues in the public libraries, burgh and county, throughout Scotland.
1956	It would be invidious to single out any for special mention here: to all he extends his grateful thanks.
1956	He owes a particular debt, however, to the librarians and staffs of the following libraries in which he has pursued his researchesi to the National Library of Scotland and to the House of Commons Library; to Mr Minto and his staff in the Edinburgh Public Libraries; to the Rev.
1956	Dr John Campbell of the Church of Scotland library; to his neighbouring colleague, Mr Tait, the City Librarian of Perth; to Mr Small of Dundee Public Library; to Mr Paterson and the staff of The Mitchell Library, Glasgow; to Mr Milne of Aberdeen Public Library; and to Mr D. C. Henrik Jone3, Librarian and Information Officer of The Library Association.
1956	To the present and to the past Honorary Secretaries of the Scottish Library Association, Mr Dow and Mr Stewart, he is indebted for the opportunity of access to the Association's Records.
1956	Professor Dickinson and Dr Sharp, under whose supervision this study has been prepared, have been unstinting in their encouragement and advice.
1956	ACKNOWLEDGEMENTS As this work draws to completion I wish to express my appreciation to those who have assisted me in the planning, writing and final preparation of my dissertation.
1956	MythanksgoparticularlytoDr.RobertB.Downs,whogavetimely advice and assistance throughout my entire program and to Dr. Frances B. Jenkins, whose generous support and cooperation aided me immeasureably as the plans for theworkdeveloped.
1956	IamgratefultoDr.CharlesHarveyBrown,whoseinterest and encouragement stimulated me to conduct the research in this aspect of sci- entific literature, and to Dr. Arthur McAnnally, whose valued counsel guided me � early in my program.
1956	Recognition should also be given to that outstanding group of fellow doc- toral candidates attending the University of Illinois Library School during 1950 and 1951, who through many hours of discussion not only provided intellectual stimulationbutlastingfriendship.
1956	IreferparticularlytoClydeCantrell, James Dyke, E. Waifred Erickson, Robert Hertel, Robert Johnson, W. Porter Kellam, Ralph McCoy, James Ranz, and Wayne Yenawine.
1956	My sincere appreciation goes to Dr. Edward B. Stanford, for his valuable suggestions in the final editing of my thesis, and to the other members of my committee�Dr.
1956	Rose B. Phelps, Dr. Harold Lancour, Dr. Edward P. Potthoff, and Dr. A. W. Anderson.
1956	But most of all, my greatest indebtedness is to my wife, Dorothy, without whose help and constant encouragement this project likely could not have been completed.
1956	And to Caroline, Thomas, and Susan, I want to express my regret for the many days and evenings we missed being together, at a time when it would have  meant so much.
1956	The writer takes this opportunity to express her in­ debtedness and deep gratitude to those who have helped make this study possible: To Dr. Charles Haynes McMullen, LibraryScience Divi­ sion, IndianaUniversity,herdirectorforthestudy,for his counsel and oritioism in the planning and executing of this study, his sympathetic interest, and his many hours of time spent on this study* To both Dr0 William H, Pox, chairman of her doctoral committee, and Mr, L. C. Lar.ion, School of Education, Indiana University, for serving on her doctoral committee and for the kind help and attention she has received from them at various times during her study.
1956	To Dr, John B, Patton, Department of Geology, Indiana University, for his advice and help, particularly in matters pertaining to geology in this study.
1956	To Mr, Richard Snyder,formerly librarian of the Geology Library, and now librarian of the Life Sciences Library at Indiana University, for his obliging service and many useful suggestions in relation to this study.
1956	To Mr, Prank Alayu, Harper Library, University of Chicago, for making available important materials for this study.
1956	To her husband, Sudohai, for his constant help and encouragement throughout this study,
1957	The writer wishes to express his appreciation to the Library Staff of the University of Southern California Libraries for their professional assistance in com­ piling this project.
1957	The writer desires to acknowledge his gratitude to Professor Robert B. Downs, under whose supervision this study was done, and whose constructive and understanding guidance and criticism have been invaluable in preparing the study.
1957	Thewriteralsowishestoacknowledgeagreatdebttotheothermembers of his committee, Dr. Harold Lancour, Dr. Rose B. Phelps, and Dr. C. Walter Stone, all of whom also critically read the manuscript one or more times and who made suggestions of inestimable value concerning it, Dr. T. E. Benner, minor advisor, and Dr. A. W. Anderson, recently sitting on the committee during the absence of Dr.Benner.
1957	ThanksarealsodueDr.JerroldOme,DirectoroftheAirUniversity Library, for suggesting a study concerning military academic libraries.
1957	The assistance and cooperation of many staff members of the Air Univer­ sity Library and other personnel of the Air University, as well as that given by the school and library staff members at the other institutions included in the study,issincerelyanddeeplyappreciated.
1957	Deservingspecialmentionisthe typing assistance received from Frances Coon, Anderson Evens, Margie Frizzle, Lillian Hall, Robert Holloway, Sarah Jones, Elsie Morris, Eunice Ward, and Donna Watts of the Air University Library staff in preparing the manuscripts of the individual reports of the Air University Library Study upon which a considerable portion of this study is based* The successful completion of the study was due largely to the encourage­ ment, inspiration, faith, and self-sacrifice of the writer’s family, particularly that of his wife, Loretta, and his children, Phillip, Enily, Peter, and Sarah.
1957	Reproduced with permission of the copyright owner.
1957	Further reproduction prohibited without permission.
1957	I owe my greatest debt to the Library of Congress, which was my largest single source of research materials* and which in addition furnished me with office space, ref­ erence service, and even amateur, but effective, typewriter repair, X am particularly grateful to the staffs of the Rare Book Division and the Union Catalog, who helped me in numerous ways for many weeks.
1957	The Library of the Boston Athenaeum, with its exten­ sive collection of Confederate imprints, was another treas­ ure trove.
1957	Miss Marjorie Lyle Crandall, then Assistant Librarian, was particularly gracious and helpful.
1957	X am also indebted to many other libraries and li­ brarians; to the University of North Carolina Library, Chapel Hill, and Dr. L. F. London of the Rare Book Depart­ ment; to the Duke University Library, Durham, N. C., and Mr. Thomas M. Sinkins of the Rare Book Department and Miss Mary Edith Plowden of the Order Department; to Emory Univer­ sity Library, Emory University, Georgia, and Mr. Richard B. Harwell of the Rare Book Department: to the Confederate Museum, Richmond, ¥irginia, and Miss India W. Thomas, House Regent; to the Library of the Western Reserve Historical Society, Cleveland, Ohio, and Dr. Russell H. Anderson, then Director of the Society; to the North Carolina State Library Raleigh, and Miss Carrie L- Broughton5 Librarian; to several libraries in the Boston area, including the Library of the  Reproduced with permission of the copyright owner.
1957	Further reproduction prohibited without permission.
1957	Massachusetts Historical Society, the Harvard University libraries, and the Rare Book Department of the Boston Pub-., lie Library?
1957	and to various other libraries which X did not visit personally but which helped me through correspondence or interlibrary loan* Several specialists in matters pertaining to the Con­ federate States of America gave me the benefit of their ex­ perience.
1957	Three of them were librarians already mentioned, taking busman*s holidays in the field of Confederate bibli­ ography: Miss Marjorie Lyle Crandall, Mr. Richard B. Harwell, and Dr. Lawrence P. London* But to Miss Katharine M. Jones, of Greenville, South Carolina, author of Confederate anthol­ ogies, I owe perhaps the greatest debt.
1957	It was she who, always bubbling with enthusiasm for the Confederacy, Intro­ duced me to Confederate children*s books and thereby gave me the Idea for this research.
1957	The writer is deeply indebted to many individuals for their encourage­ ment and active assistance, so many in fact that here only those who were most closely connected with the study can be singled out for mention.
1957	He is very grateful to Bernard Berelson, formerly Dean of the Graduate Library School, under whose stimulating direction the project was initiated; to the members of the supervising committee under whose guidance the study was completed, Dean Lester E. Asheim, Mr. Morris I. Stein and Mr. Herman H. Pussier, he wishes to express sincere appreciation for invaluable criticism; for the interest, suggestions and assistance of colleagues at The University of Texas, particu­ larly Mr. Fred Folmer, Miss Esther L. Stallmann, and Mr. E. N. Pareis, he is especially grateful; to the deans and directors of the cooperating schools and the several hundred student subjects without whose help the study would not have been possible special thanks are due; and, finally, he wishes to acknowl­ edge with deep appreciation the unfailing patience, understanding and en­ couragement of his family.
1957	The outhor is honored to hove received the first Paula F. Lazrus Memorial Fellowship, without which he could not have pursued his studies into the intricacies of subject headings.
1957	The author is indebted to Mr. Donald V. Hurst, for yreat help in the preparation of data, to Hr.
1957	Aiden Aldrich and Mr. Claude Underwood for assistance in the countinr and sortinv of cards, an'1 to Mr. Fred Craves for much encourarenent and r.on3r kindnesses in the pre­ paration of the in itia l studies tin t led to this work.
1957	The author is indebted,as well, to Miss Elizabeth Hnttinmly upon 'hose burdened shoulders fell rost of the heavy typinm both in preparation of the data ond in the final copies of the nanusprints.
1957	Mr. Melso^ Stone assist­ ed in the 'preparation of the v-rinus drafts of the manus­ cript , and Mr. Ilurst re^d most of the h ofts or listened patiently as they were explained.
1957	Mr. John Cole hag assisted in the conpll"tion of some of the more abstruse f i a-vires • To Dr. Maurice F. Tauber, Melvil Dewey Professor of Library Science, the outhor owes not only the encourrre- nent without which he would Ion"" nzo have riven up in despair but also such technical knowledge os is here dis­ played.
1957	To Dr. Uriel Meinreich of the Department of Linguistics, the author owes such understanding •s he may claim of the ways of grammatical analysis and of linguistic science.
1957	The author wishes also to thank his associates at the National Conference of Christians and Jews whose kind interest in the dissertation and whose many fri indly suggestions hove immeasurably lightened his work.
1957	Es­ pecially to Mrs. Mina Diamantopoulos, the author feels a kind of reverent yratitude in rememberinr the many rushed days and hectic weeks when her help always enabled the author both to complete his work in the Paula F. Lazrus Memorial Library and to continue his study of subject headings.
1957	To many othe" people, not one of whom has failed to offer help to the author in this undertaking, the author wishes to acknowle Ire his indebtedness and   beg forgiveness for limitations of space which prevent his listing all on this page* The author, however, reserves to himself such blame as may be due any mistakes of fact or judgment.
1957	He has been free to work quite alone, to develop his ideas as he chose, and to be guided only by the results of the analysis*
1957	The writer gratefully acknowledges her appreciation to Dr. Essae Martha Culver, Louisiana State Librarian, for her valuable assistance in the development of this disser­ tation.
1957	The pertinent suggestions of Debora R. Abramson, Assistant State Librarian, and the professional-services of the staff of the State Library have been especially helpful to the writer.
1957	Special acknowledgment is made to Dr. W. R. ,Cline, under whose direction this study was prepared, and to Florrinell F. Morton, Director of the Library School, who has given the writer excellent professional guidance.
1957	The writer further acknowledges the effective direction of Dr. B. F. Mitchell, Dr. L. L. Fulmer, Dr. W. A. Lawrence, and Dr. D. P. Noah, and the assistance of Norris McClellan.
1957	To the librarians who have actively participated in the demonstration program of the Louisiana State Library and contributed commentaries based on their professional experi­ ences, the writer is sincerely grateful.
1957	By this means I wish to express my sincere appreciation for the fortunate pattern of experience which has contributed to the development of this thesis.
1957	To education for librarianship, for developments which required new patterns of presentation, to the Faculty of the Illinois Library School, for foreseeing that examinations could assist materially in solving their problems, to the Office of the University Examiner, for cooperation with the Library School and provision of an assistant for the program, to the Associate Director of the Library School, Harold Lancour, and to former professor, Herbert Goldhor, who recommended that I accept the research assistantship, to the members of my committee: Harold Lancour, my advisor, who has guided this study of the examination program?
1957	Miss Thelma Eaton, who encouraged critical thinking at every stage?
1957	Leslie Dunlap, who by example stimulated the approach toward scholarship; J. T. Hastings, who provided many questions of and suggested answers for the technical developments; and, E. F. Potthoff, who fostered a greater understanding of and appreciation for higher education, to other Illinois faculty members: D. R. Krathwohl, formerly with the Unit on Evaluation, who suggested means for avoiding fallacy in methods of approach; and, R. E. Pingry, who presented the understandings of the measures used for statistical inference, to all of the Library School students, who provided the raw data for the study; but particularly to the group of fellow doctoral students with whom association both broadened the experience and sustained the spirit during the months of study and research, to the President and Board of Regents of Eastern New Mexico University, who have provided the most generous of leave systems, which has enabled continuation of the study.
1957	to my family, for their sacrifices of time and substance; and especially to my wife, Margaret, for" her constant reassurance and encouragement as well as for her skilled secretarial abilities which produced the many preliminary drafts and this final copy, and, finally, to a deceased father-in-law, who had the keen insight to insist that I continue toward an original goal rather than diverge toward another profession which at one time would have been expedient from a family standpoint, I can offer only my thanks.
1957	Grateful acknowledgment is made to Dr. Harold Lancour who has be-a the adviser for this Btudy.
1957	The writer ie indebted also to the other members of her committee�Dr.
1957	Robert B. Downs, Dr. Thelma Eaton, Dr. Rose B. Phelps, and Dr. Edward F. Potthoff�who read the preliminary draft of the dissertation, Without the cooperation of the thirty-three library schools which pro- vided data, the study could not have been undertaken, and without the cooperation of the more than 1,000 individuals who answered a request for information, it could not have been completed.
1957	To these schools and individuals the writer is deeply grateful.
1957	In addition, the assistance given by library school students at Smory University and at the University of Illinois in pretesting the question- naire is greatly appreciated.
1957	There are other debts which, like the above, it is a pleasure to acknow- ledge.
1957	The writer wishes to egress her gratitude to the Division of Librarian- ship at Emory University where, for a period of almost three years, schedules have often been arranged to suit one person's convenience.
